 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
191228A	00:01:19	5.341	-8.650	2.4	166.9	20	2	0.6	0.2
191227A	01:39:37	319.172	-16.717	1.2	58.5	250	10	21.8	1.3
191221B	20:39:13	154.831	-38.152	1.1	48.00	190	10	4.8	0.7
191220A	13:29:37	281.335	26.679	3.0	175.55	11	3	1.1	0.4
191218A	02:42:43	301.070	-40.277	1.4	44.67	78	4	6.3	0.9
191213A	04:06:23	224.530	-9.745	2.2	NA	21	2	0.5	0.2
191130A	13:05:02	133.137	5.017	1.7	17.6	6.86	0.6	1.1	0.2
191123A	10:38:44	215.289	22.823	2.2	275.1	12	2	1.2	0.2
191122A	13:32:56	54.290	-32.176	1.0	153.3	66	3	3.1	0.4
191106A	14:15:23	269.356	46.046	1.7	3.42	3.2	0.3	1.1	0.2
191101A	21:08:03	251.845	43.740	1.7	137.95	19	2	1.3	0.3
191031D	21:23:31	283.269	47.645	1.4	0.29	4.1	0.4	4.3	0.4
191031C	18:43:54	115.880	-62.322	1.3	93.2	72	3	4.6	0.5
191031A	00:36:33	233.490	6.109	2.0	19.1	9.0	1.1	1.0	0.2
191029A	11:15:20	352.140	-40.464	1.8	39.5	11	1	1.1	0.3
191024A	04:42:52	10.129	-67.138	1.3	7.08	4.7	0.4	1.6	0.2
191019A	15:12:33	340.035	-17.340	1.0	64.35	100	3	5.7	0.4
191017B	14:36:06	245.131	-73.583	1.8	5.95	5.6	0.7	1.9	0.3
191016A	04:09:00	30.268	24.508	1.5	219.70	65	4	1.5	0.2
191011A	04:35:56	44.729	-27.853	1.5	7.37	3.3	0.4	1.8	0.2
191004B	21:33:41	49.200	-39.637	1.0	37.7	25	1	5.0	0.2
191004A	18:07:02	31.716	-36.932	1.1	2.44	13	1	7.8	0.5
191001B	17:19:20	86.423	-15.880	3.6	108.9	46	3	1.8	0.4
190926A	09:52:16	100.616	59.531	2.3	368.9	25	2	0.6	0.2
190829A	19:56:44.60	44.542	-8.958	1.9	58.2	64	7	18.0	2.7
190828B	12:59:59.42	251.838	27.287	1.0	66.6	42	2	2.3	0.2
190824A	14:46:39	215.323	-41.900	1.7	169.4	85	4	5.0	0.5
190821A	17:10:03	250.070	-34.027	1.3	57.1	24	1	2.8	0.3
190816A	14:42:24	341.183	-29.745	1.7	375.0	98	6	1.3	0.3
190727B	20:18:17	126.500	-13.272	1.0	40.14	180	3	20.9	0.7
190719C	14:58:34	240.208	13.005	1.2	185.7	51	3	5.5	0.3
190718A	04:41:15	336.605	-41.184	2.4	720.0	3.6	0.6	1.0	0.2
190706B	12:40:50	107.443	-29.575	2.2	25.16	5.8	0.9	1.4	0.2
190701A	09:45:20	28.131	58.899	2.4	52.4	8.7	1.5	1.2	0.3
190630C	23:52:59	293.890	-32.759	1.1	38.4	23	2	2.0	0.3
190630B	06:02:08	223.729	41.528	2.0	5.6	2.8	0.4	1.1	0.2
190627A	11:18:31	244.843	-5.302	2.7	1.60	0.99	0.22	1.1	0.3
190613B	10:47:02	305.434	-4.655	1.9	160.84	23	3	5.7	0.7
190613A	04:07:18	182.552	67.244	2.2	17.6	17	3	1.5	0.7
190611A	17:49:01	324.689	-56.070	3.0	41.8	4.6	1.6	0.9	0.3
190610A	11:27:45	46.244	-7.66	1.9	0.62	4.1	0.5	3.9	0.5
190604B	14:57:15	297.546	-32.975	1.0	220.2	177	4	7.3	0.4
190519A	07:25:39	114.758	-38.813	1.7	45.58	180	10	20.6	1.7
190515B	16:04:21	98.826	52.322	1.5	46.4	16	1	1.1	0.2
190512A	14:40:09	82.402	-7.582	2.9	40.1	13	1	1.0	0.2
190511A	07:14:48	126.443	-20.252	1.5	27.7	74	5	6.2	1.2
190427A	04:34:15	280.217	40.304	2.4	0.3	1.3	0.2	1.6	0.3
190424A	10:00:43	48.693	20.239	1.4	10.6	12	1	2.0	0.3
190422A	22:55:29	182.126	-60.167	2.4	NA	65	3	2.6	0.2
190331B	03:59:05	326.258	-54.555	NA	NA	NA	NA	NA	NA
190331A	02:14:37.50	28.573	27.635	1.4	4.3	4.5	0.4	2.8	0.2
190326A	07:35:28	341.652	39.914	1.6	0.08	0.63	0.08	1.55	0.30
190324A	22:44:01	49.603	-47.212	1.0	28.4	72	2	11.9	0.5
190320A	01:14:36	117.824	-45.876	1.9	64.0	27	3	1.3	0.5
190311A	14:23:33	212.067	53.486	1.3	17.0	9.1	0.9	1.8	0.3
190220A	02:59:34	330.128	-76.669	1.3	10.0	8.9	1.0	2.6	0.4
190219A	19:38:58	189.686	76.606	1.6	167.8	39	2	1.9	0.2
190211A	16:54:44	196.652	41.976	2.3	12.48	6.5	1.2	1.9	0.4
190204A	05:46:01	351.491	54.884	1.0	26.4	130	3	30.5	0.9
190203A	15:44:08	22.603	55.736	1.0	96	150	5	3.1	0.6
190202A	01:39:30	166.506	9.393	1.9	19.4	60	5	7.8	1.5
190123A	12:19:13	53.175	45.505	1.7	24.4	8.4	1.1	1.0	0.2
190114C	20:57:03	54.503	-26.938	1.0	361.5	830	10	101.0	1.5
190114B	19:31:12	174.868	18.882	2.3	26.5	5.1	1.0	0.5	0.2
190114A	03:10:49	65.543	2.196	1.7	66.6	8.0	1.2	0.5	0.2
190110A	17:24:48	276.939	-53.643	1.0	9.3	25	1	9.0	0.5
190109B	11:56:09	55.563	63.592	1.4	5.92	4.8	0.5	1.7	0.2
190109A	05:12:41	33.213	38.111	1.0	115.0	55	3	1.9	0.3
190106A	13:34:44	29.877	23.839	1.0	76.8	60	2	5.5	0.3
190103B	21:03:51	212.561	35.254	1.3	19.5	120	10	16.3	1.5
181228A	02:53:17	49.831	13.212	1.0	257.3	100	3	9.5	0.5
181224A	13:36:51	125.949	6.194	1.9	12.5	4.9	0.6	1.0	0.2
181213A	12:57:38	248.210	78.500	1.9	15.31	15	2	2.1	0.6
181203A	12:08:47	108.341	-39.783	1.3	15.30	7.8	0.7	1.1	0.2
181202A	06:36:24	280.737	27.976	2.0	6.56	2.5	0.4	0.9	0.2
181126A	09:54:08	152.350	-29.698	1.5	2.09	3.1	0.4	2.7	0.3
